CODE_OA;NUM_OA;LIAISON;SENS;PR_OA;ABS_DEB;NUM_EXPLOIT;NOM_USAGE;FAMILLE;TYPE_OUVRAGE;MATERIAUX;DATE_MS;NBRE_TABLIERS;NBRE_TRAVEE;GABARIT;LONGUEUR;LARGEUR;SECT_COURANTE;IQOA;NOTE_URGENCE
685;A5_PV_54.6;1;3;114 +0585;114831;PV 5;PV 6;PV;PICF (Cadre Fermé);Béton armé;;1;1;4.5;5.22;35.94;35.94;1;3
686;A5_PAS_55.1;1;3;115 +0960;116206;PASSERELLE PIETONS;PAS 2;PAS;PIPBA PSPBA (Poutres BA);Béton armé;;1;2;0;38.9;3.5;3.5;2 S;24
687;A5_PS_57.6;1;3;117 +0622;117867;PS 8;PS 11;PS;PIBA PSBA (Dalle Béton Armé);Béton armé;;1;4;0;62;10;10;1;8
688;A5_PI_58.4;1;3;118 +0439;118686;PI 2;PI 5;PI;PIPO (Portique Ouvert);Béton armé;;1;1;0;10.26;37.37;37.37;2 S;30
71;A1_PP_85.2;5;3;179 +0508;179503;PP 15;PP 21;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;2.4;35.45;35.45;2;6
72;A1_PV_85.9;5;3;178 +0848;178843;PV 16;PV 29;PV;PICF (Cadre Fermé);Béton armé;;1;1;3.5;4.08;35.52;35.52;2;3
73;A1_PV_87.4;5;3;177 +0301;177299;PV 16 bis;PV 30;PV;PICF (Cadre Fermé);Béton armé;;1;1;3.5;4.08;35.66;35.66;2;6
74;A1_PP_88.6;5;3;176 +0157;176146;PP 17;PP 22;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;2.4;35.47;35.47;2;11
75;A1_PP_90.5;5;3;174 +0257;174266;PP 17 bis;PP 23;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;2.4;35.62;35.62;2;14
76;A1_PV_91.4;5;3;173 +0374;173356;PV 17;PV 31;PV;PICF (Cadre Fermé);Béton armé;;1;1;3.5;4.08;37.45;37.45;2;22
77;A1_PP_92.2;5;3;172 +0519;172502;PP 18;PP 24;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;2.4;35.46;35.46;1;6
78;A1_PP_94.1;5;3;170 +0709;170675;PP 19;PP 25;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;2.4;35.46;35.46;2;6
79;A1_PV_94.8;5;3;169 +0970;169938;PV 18;PV 32;PV;PICF (Cadre Fermé);Béton armé;;1;1;3.5;4.08;35.49;35.49;2;20
80;A1_PV_96.6;5;3;168 +0170;168134;PV 19;PV 33;PV;PICF (Cadre Fermé);Béton armé;;1;1;3.5;4.08;35.62;35.62;2;12
81;A1_PI_98.3;5;3;166 +0456;166426;PI 2 CT 2301;PI 3;PI;PIBA PSBA (Dalle Béton Armé);Béton armé;;2;1;0;13.76;12.5;12.5;2;36
82;A1_PV_99.4;5;3;165 +0401;165374;PV 20;PV 34;PV;PICF (Cadre Fermé);Béton armé;;1;1;3.5;4.08;35.48;35.48;1;0
83;A1_VIA_99.7;5;3;165 +0054;165027;Pont sur canal Nador;Pont sur canal Nador;VIA;Viaduc à poutres BA;Béton armé;;2;2;0;45.9;12.6;12.6;2 S;54
84;A1_PV_100.6;5;3;164 +0113;164079;PV 21;PV 35;PV;PICF (Cadre Fermé);Béton armé;;1;1;4.5;5.14;34.59;34.59;1;0
85;A1_PP_101.4;5;3;163 +0399;163362;PP 22;PP 26;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;2.4;36.18;36.18;1;0
86;A1_PV_104.6;5;3;160 +0153;160109;PV 21 bis;PV 36;PV;PICF (Cadre Fermé);Béton armé;;1;1;3.5;4.08;35.62;35.62;2;3
88;A1_PV_109.1;5;3;155 +0613;155590;PV 22 bis;PV 37;PV;PICF (Cadre Fermé);Béton armé;;1;1;3.5;4.08;35.56;35.56;2 E;30
89;A1_PP_110.5;5;3;154 +0277;154250;PP 27;PP 28;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;2.4;36.46;36.46;2;17
90;A1_PI_111.3;5;3;153 +0444;153423;PI 3 CT 2301;PI 4;PI;PIBA PSBA (Dalle Béton Armé);Béton armé;;2;1;0;13.76;12.5;12.5;2 S;41
91;A1_PV_112.8;5;3;151 +0901;151875;PV 23;PV 38;PV;PICF (Cadre Fermé);Béton armé;;1;1;4.5;5.14;35.77;35.77;2;9
92;A1_VIA_113.0;5;3;151 +0749;151723;Pont sur Oued Drader;Pont sur Oued Drader;VIA;VIPP;Béton armé;;2;1;0;31;12.6;12.6;2 E;26
93;A1_PI_113.1;5;3;151 +0649;151623;PI 4;PI 5;PI;VIPP;Béton précontraint;;2;1;0;26.85;12.6;12.6;2;3
94;A1_PS_113.7;5;3;151 +0049;151023;PS 6 bis;PS 6 bis;PS;PIBA PSBA (Dalle Béton Armé);Béton armé;;1;4;0;67;10;10;2;9
95;A1_PAS_114.1;5;3;150 +0650;150620;PAS6;PAS6;PAS;;;;0;0;0;0;0;NON;2;0
96;A1_PV_114.7;5;3;150 +0057;150027;PV 24;PV 39;PV;PICF (Cadre Fermé);Béton armé;;1;1;3.5;4.08;35.56;35.56;2;20
97;A1_PP_115.6;5;3;149 +0106;149080;PP 29 ;PP 29 Aire de service;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;2.5;37.38;37.38;2;3
98;A1_PV_117.5;5;3;147 +0215;147189;PV 25;PV 40;PV;PICF (Cadre Fermé);Béton armé;;1;1;3.5;4.08;35.62;35.62;2;6
99;A1_PV_119.0;5;3;145 +0736;145703;PV 26;PV 41;PV;PICF (Cadre Fermé);Béton armé;;1;1;3.5;4.08;35.62;35.62;2;22
100;A1_PP_120.4;5;3;144 +0369;144336;PP 29 bis;PP 29 bis;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;2.4;37.38;37.38;2;9
101;A1_PV_122.4;5;3;142 +0298;142262;PV 27 bis;PV 42;PV;PICF (Cadre Fermé);Béton armé;;1;1;3.5;4.4;35.66;35.66;2;6
102;A1_PV_123.2;5;3;141 +0490;141456;PV 28 bis;PV 44;PV;PICF (Cadre Fermé);Béton armé;;1;1;3.5;4.08;35.62;35.62;2;9
103;A1_PV_123.7;5;3;140 +0994;140958;PV 28;PV 43;PV;PICF (Cadre Fermé);Béton armé;;1;1;3.5;5.36;35.66;35.66;2;6
104;A1_PV_125.3;5;3;139 +0481;139436;PV 29;PV 45;PV;PICF (Cadre Fermé);Béton armé;;1;1;3.5;4.22;37.17;37.17;2;22
105;A1_PI_126.0;5;3;138 +0700;138664;PI 5;PI 6;PI;PIPO (Portique Ouvert);Béton armé;;2;1;0;10.2;32.5;32.5;2 S;27
106;A1_PP_126.8;5;3;137 +0946;137899;PP 32;PP 30;PP;PICF (Cadre Fermé);Béton armé;;1;1;3;3.7;35.61;35.61;1;11
107;A1_PV_128.6;5;3;136 +0155;136100;PV 30;PV 46;PV;PICF (Cadre Fermé);Béton armé;;1;1;4.5;5.14;36.24;36.24;1;0
108;A1_PP_128.7;5;3;136 +0055;136000;PP 33;PP 31;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;2.4;35.62;35.62;2;3
109;A1_PI_130.2;5;3;134 +0548;134491;PI 6;PI 7;PI;PIPO (Portique Ouvert);Béton armé;;2;1;0;17.52;32.7;32.7;2 S;33
110;A1_PV_131.5;5;3;133 +0278;133219;PV 31;PV 47;PV;PICF (Cadre Fermé);Béton armé;;1;1;3.5;6.01;35.64;35.64;2;6
111;A1_PV_132.5;5;3;132 +0208;132153;PV 32;PV 48;PV;PICF (Cadre Fermé);Béton armé;;1;1;3.5;6.01;35.64;35.64;2;3
