CD_PT_SING_INF__CODE;LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;NOM_USAGE;LIBELLE;COMMENTAIRE
PI;5;3;1947;PI 13;Voie  ferrée;
VIA;5;3;2504;VIA;Pont sur Oued Ksar Nord;
PP;5;3;190282;PP17;Passage piéton N°17;
PV;5;3;193354;PV25;;
PP;5;3;193881;PP16;Passage piéton N°16;
PP;5;3;194449;PP15;Passage piéton N°15;
PV;5;3;196318;PV24;;
PP;5;3;197386;PP14;Passage piéton N°14;
PV;5;3;198416;PV23;;
PP;5;3;199598;PP13;Passage piéton N°13;
PP;5;3;201188;PP12;Passage piéton N°12;
BIF;1;3;420;A3-10;Hay Riad;
VIA;2;3;211230;;Pont sur oued SEBOU;
PP;2;3;212400;;PP4;
PP;2;3;213100;;PP5;
PP;2;3;215200;;PP6;
PV;2;3;216690;;PV 10;
PS;2;3;217920;;PS17;Piste
PV;2;3;218898;;PV 11;
PI;2;3;219572;;PI3;Route de 1ère catégorie
ECH;2;3;220497;A2-9;Echangeur de Ras Tabouda;
GARE;2;3;220497;;Gare de péage sur échangeur de Ras Tabouda;
PS;2;3;220497;;PS19;Echangeur
PS;2;3;221081;;PS18;Piste
PV;2;3;222970;;PV 12;
PV;2;3;223620;;PV 13;
PP;2;3;224440;;PP7;
PS;2;3;225860;;PS20;Piste
PV;2;3;227525;;PV 14;
PV;2;3;228780;;PV 15;
PS;2;3;230014;;PS21;Route de 1ère catégorie
PP;2;3;232180;;PP8;
PV;2;3;232743;;PV 16;
PS;2;3;234720;;PS22;Route de 3ème catégorie
PI;2;3;235510;;PI 4;Route de 3ème catégorie
PS;2;3;236680;;PS23;Piste
PS;2;3;239440;;PS24;Piste
VIA;2;3;240680;;Pont sur oued MATMATA;
PS;2;3;241747;;PS25;Route de 3ème catégorie
VIA;2;3;242680;;Pont sur oued IFRANE;
PS;2;3;243888;;PS26;Route de 3ème catégorie
PS;2;3;245056;;PS27;Route de 3ème catégorie
ECH;2;3;245900;A2-10;Echangeur de Tahla;
GARE;2;3;245900;;Gare de péage sur échangeur de Tahla;
PS;2;3;245900;;PS28;Echangeur
AIRE;2;3;246475;;Aire de service de Tahla;
PV;2;3;247885;;PV 17;
PV;2;3;249080;;PV 18;
PV;2;3;251800;;PV 19;
PV;2;3;252774;;PV 20;
VIA;2;3;253250;;Pont sur oued BOUHALOU;
PV;2;3;253639;;PV 21;
PV;2;3;254799;;PV 22;
PV;2;3;256470;;PV 23;
PV;2;3;257370;;PV 24;
PV;2;3;259271;;PV 25;
PS;2;3;259717;;PS29;Piste
PS;2;3;260259;;PS30;Piste
PS;2;3;261031;;PS31;Piste
VIA;2;3;262043;;Pont sur oued ZIREG;
PS;2;3;262285;;PS32;Piste
PV;2;3;263284;;PV 26;
VIA;2;3;263650;;Pont sur oued INAWENE;
PI;2;3;264172;;PI 6;Voie ferrée
PI;2;3;264532;;PI5;RN6
PS;2;3;265845;;PS33;Piste
PS;2;3;267015;;PS34;Piste
VIA;2;3;267628;;Pont sur oued AMLIL;
PS;2;3;268973;;PS35;Piste
ECH;2;3;269414;A2-11;Echangeur de Oued Amlil;
GARE;2;3;269414;;Gare de péage sur l’échangeur de Oued Amlil ;
PS;2;3;269414;;PS36;Echangeur
PS;2;3;270063;;PS37;Piste
VIA;2;3;270918;;Pont sur oued AGHROUZ;
PV;2;3;271430;;PV 27;
PV;2;3;273143;;PV 28;
PS;2;3;274618;;PS38;Piste
VIA;2;3;274819;;Pont sur oued LAGHRIK;
VIA;2;3;276056;;Pont sur oued OUARGAZ;
PV;2;3;277519;;PV 29;
PP;2;3;278114;;PP9;
PS;2;3;280364;;PS39;Piste
PV;2;3;282196;;PV 30;
PV;2;3;282706;;PV 31;
PV;2;3;284233;;PV 32;
VIA;2;3;284537;;Pont sur oued LARBAA;
PV;2;3;285303;;PV 33;
VIA;2;3;285376;;Pont sur oued LAHLOU;
PS;2;3;285742;;PS40;Piste
ECH;2;3;288028;A2-12;Echangeur de Taza Ouest;
GARE;2;3;288028;;Gare de péage sur l’échangeur de Taza Ouest;
PS;2;3;288028;;PS41;Echangeur
PS;2;3;288830;;PS42;RP5413
VIA;2;3;289202;;Pont sur oued LAHDAR;
PS;2;3;289689;;PS43;Piste
PV;2;3;295131;;PV 34;
PV;2;3;296337;;PV 35;
PV;2;3;296957;;PV 36;
PV;2;3;299046;;PV 37;
PV;2;3;299664;;PV 38;
ECH;2;3;300388;A2-13;Echangeur de Taza Est;
GARE;2;3;300388;;Gare de péage sur l’échangeur de Taza Est;
PS;2;3;300388;;PS44;Echangeur
PS;2;3;302504;;PS45;PISTE
PS;2;3;303399;;PS46;PISTE
PS;2;3;306447;;PS47;PISTE
VIA;2;3;307324;;Pont sur oued BOUCHEIK;
PS;2;3;307568;;PS48;piste
VIA;2;3;308134;;Pont sur oued ALGHBEL;
PV;2;3;310130;;PV 40;
PV;2;3;311083;;PV 41;
PV;2;3;313698;;PV 42;
PV;2;3;315388;;PV 43;
PV;2;3;316808;;PV 44;
PS;2;3;317957;;PS49;piste
VIA;2;3;319634;;Pont sur oued MSOUN;
PS;2;3;321214;;PS50;piste
PV;2;3;322414;;PV 45;
AIRE;2;3;322564;;Aire de service de Taza;
PS;2;3;323114;;PS51;RR511
ECH;2;3;324114;A2-14;Echangeur MSOUN;
GARE;2;3;324114;;Gare de péage sur échangeur MSOUN;
PS;2;3;325897;;PS52;Piste
PS;2;3;330202;;PS53;Piste
PS;2;3;333154;;PS54;Piste
PS;2;3;335347;;PS55;Piste
PS;2;3;339134;;PS56;Piste
PS;2;3;344814;;PS57;Piste
PV;2;3;347443;;PV 46;
VIA;2;3;348864;;Pont sur oued KHAT TIGHZERINE;
PP;2;3;350614;;PP10;
PS;2;3;354598;;PS58;piste
PS;2;3;359946;;PS59;piste
PP;2;3;361434;;PP11;
PV;2;3;362130;;PV 47;
PP;2;3;363094;;PP12;
ECH;2;3;363214;A2-15;Echangeur GUERCIF;
GARE;2;3;363214;;Gare de péage sur échangeur GUERCIF;
PS;2;3;365092;;PS60;N16
VIA;2;3;366514;;Pont sur oued KHAT TIGHZERINE;
PV;2;3;367214;;PV 48;
PV;2;3;371914;;PV 49;
VIA;2;3;372514;;Pont sur oued OUZERHT;
PS;2;3;373574;;PS61;PISTE
VIA;2;3;374964;;Pont sur oued MOULOUYA;
PV;2;3;376314;;PV 50;
PV;2;3;376914;;PV 51;
PS;2;3;378814;;PS62  ;PISTE
AIRE;2;3;378964;;Aire de service de Guercif;
PV;2;3;382074;;PV 52;
PV;2;3;384564;;PV 53;
PV;2;3;386564;;PV 54;
VIA;2;3;387864;;Pont sur oued EL ABED;
PS;2;3;390214;;PS 63;PISTE
PP;2;3;396014;;PP13;
ECH;2;3;397814;A2-16;Echangeur TAOURIRT;
GARE;2;3;397814;;Gare de péage sur échangeur TAOURIRT;
PP;2;3;398534;;PP14;
VIA;2;3;398734;;Pont sur oued ZA;
PV;2;3;399584;;PV 55;
PS;2;3;401714;;PS 64;PISTE
PV;2;3;405333;;PV 56;
ECH;2;3;405664;A2-17;Echangeur TAOURIRT -EST;
GARE;2;3;405664;;Gare de péage sur échangeur TAOURIRT -EST;
PV;2;3;406583;;PV 57;
PS;2;3;409333;;PS 65;PISTE
VIA;2;3;409999;;Pont sur oued LAMRAYER;
PP;2;3;411493;;PP15;
PS;2;3;413633;;PS 66;RP6038
VIA;2;3;414233;;Pont sur oued ALHASHAS;
PS;2;3;415933;;PS 67;PISTE
VIA;2;3;417893;;Pont sur oued LAGDAH;
PP;2;3;418583;;PP16;
PV;2;3;420733;;PV 58;
PP;2;3;423983;;PP17;
PV;2;3;424733;;PV 59;
PS;2;3;426983;;PS 68;RR603
PV;2;3;428733;;PV 60;
PS;2;3;430133;;PS 69;PISTE
PS;2;3;431183;;PS 70;PISTE
VIA;2;3;431513;;Pont sur oued LAQSOB;
PV;2;3;433183;;PV 61;
PV;2;3;435883;;PV 62;
VIA;2;3;438933;;Pont sur oued BOURDIM;
PV;2;3;440883;;PV 64;
PV;2;3;443083;;PV 65;
AIRE;2;3;443383;;Aire de service de Laayoun;
PS;2;3;445083;;PS 71;PISTE
PI;2;3;445893;;PI 7;RP6026
ECH;2;3;447133;A2-18;Echangeur laayoun;
GARE;2;3;447133;;Gare de péage sur échangeur laayoun;
PV;2;3;447583;;PV 66;
PV;2;3;448083;;PV 63;
PI;2;3;449539;;PI 8;ROUT HOLCIM
PP;2;3;450089;;PP18;
PP;2;3;451039;;PP19;
PV;2;3;451839;;PV 67;
PI;2;3;453139;;PI9;RR607
VIA;2;3;453339;;Pont sue oued Bourdim;
PP;2;3;453339;;PP20;
PS;2;3;453889;;PS 72;PISTE
PV;2;3;455689;;PV 68;
PS;2;3;459889;;PS 73;RP6020
PI;2;3;464589;;PI10;RP6005
PP;2;3;466089;;PP21;
PS;2;3;468339;;PS 74;PISTE
PS;2;3;470389;;PS 75;PISTE
PP;2;3;472139;;PP22;
PS;2;3;473689;;PS 76;PISTE
PP;2;3;474689;;PP23;
PV;2;3;476589;;PV 69;
PS;2;3;478539;;PS 77;PISTE
PV;2;3;480439;;PV 70;
PS;2;3;482339;;PS 78;RNC
PS;2;3;485139;;PS 79;PISTE
PS;2;3;487579;;PS 80;PISTE
PS;2;3;489062;;PS 81;PISTE
PS;2;3;490399;;PS 82;PISTE
PS;2;3;492839;;PS 83;PISTE
AIRE;3;3;154000;A7-R4;Aire de Benguerir;
PS;3;3;155480;PS 52;Piste;
PS;3;3;156800;PS 53;CT6103;
VIA;3;3;158000;VIA;Pont sur Oued Benguerir;
PI;3;3;158005;PI 18;Voie Ferrée;
PI;3;3;159211;PI 19;RS125;
PS;3;3;160000;PS 54;Echangeur Benguerir;
GARE;3;3;160000;GARE - SE;Gare de péage sur échangeur de Benguerir;
ECH;3;3;160000;A7-8;Benguerir;
AIRE;5;1;149624;A1-R3;Aire de Mly Bousselham  sens Tanger - Rabat;Date MS : 01/112011
PI;3;3;415068;PI 12;RN 8;
PV;3;3;416155;PV26;;
PI;3;3;417523;PI 13;RN 8;
VIA;3;3;418623;VIA;Pont 298;
PS;3;3;418623;PS 60;Passage supérieur sur PISTE;
PS;2;3;16244;PS 1;RN 6;
ECH;2;3;17400;A2-1;Sidi Allal El Bahraoui;
PS;2;3;17417;PS2;Echangeur Sidi Allal El Bahraoui;
BPV;2;3;18200;GARE - BPV;Gare de péage pleine voie de Sidi Allal El Bahraoui;
PS;2;3;18838;PS 3;Piste;
PP;2;3;19578;PP1;Passage piéton N°1;
PV;2;3;21749;PV1;;
PV;2;3;22958;PV2;-5558;
PS;2;3;25430;PS 4;Piste;
PS;2;3;27958;PS 5;Piste;
PP;2;3;28278;PP2;Passage piéton N°2;
PP;2;3;29886;PP3;Passage piéton N°3;
PP;2;3;30663;PP4;Passage piéton N°4;
PS;2;3;31456;PS 6;Piste;
PAS;2;3;33600;PAS1;Passerelle piéton N°1;
PP;2;3;33984;PP5;Passage piéton N°5;
PV;2;3;35078;PV3;;
PV;2;3;36524;PV4;;
PV;2;3;37957;PV5;;
PP;2;3;39473;PP6;Passage piéton N°6;
PV;2;3;40893;PV6;;
PV;2;3;42725;PV7;;
PI;2;3;43477;PI 1;Tiflet;
GARE;2;3;43800;GARE - SE;Gare sur échangeur de Tiflet;
ECH;2;3;43800;A2-2;Tiflet;
PS;2;3;44208;PS 7;RP4306;
AIRE;2;3;45300;A2-R1;Aire de Tiflet;
PV;2;3;46528;PV8;;
PS;2;3;47318;PS 8;Piste;
PI;3;3;800;PI 1;RS 114;
PAS;3;3;1200;PAS1;Passerelle piéton 1;
