CD_PT_SING_INF__CODE;LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;NOM_USAGE;LIBELLE;COMMENTAIRE
ECH;3;3;428353;A7-16;RN8 Agadir;
PAS;2;3;49100;PAS2;Passerelle piéton N°2;
PI;2;3;50002;PI 2;RR 411;
PV;2;3;54863;PV9;;
PS;2;3;56595;PS 9;RP432;
PV;2;3;60048;PV10;;
PP;2;3;62358;PP7;Passage piéton N°7;
PV;2;3;63513;PV11;;
PP;2;3;64276;PP8;Passage piéton N°8;
AIRE;2;3;66500;A2-R2;Aire de Khémisset Ouest;
PV;2;3;66686;PV12;;
PS;2;3;68227;PS 10;RR409;
GARE;2;3;69000;GARE - SE;Gare sur échangeur de Khémisset;
ECH;2;3;69000;A2-3;Khémisset;
PI;2;3;69064;PI 3;Khémisset;
PV;2;3;69938;PV13;;
PS;2;3;70637;PS 11;RP4329;
PP;2;3;71314;PP9;Passage piéton N°9;
PV;2;3;73024;PV14;;
PV;2;3;75134;PV15;;
PS;2;3;81704;PS 12;Piste;
VIA;2;3;83075;VIA;Pont sur oued BEHT;
PS;2;3;83836;PS 13;Piste;
PP;2;3;86929;PP10;Passage piéton N°10;
PS;2;3;88008;PS 14;Piste;
VIA;2;3;88330;VIA;Pont sur oued OUCHKET;
PS;2;3;88914;PS 15;Piste;
AIRE;2;3;91200;A2-R3;Aire de Khémisset Est;
PS;2;3;91752;PS 16;RR 701;
VIA;2;3;93417;VIA;Pont sur oued EL KELL;
PV;2;3;94239;PV16;;
PV;2;3;95647;PV17;;
PV;2;3;96284;PV18;;
PV;2;3;98301;PV19;;
PV;2;3;98867;PV20;;
PS;2;3;99644;PS 17;Piste;
PV;2;3;101164;PV21;;
PV;2;3;103892;PV22;;
PV;2;3;105269;PV23;;
PV;2;3;106719;PV24;;
PS;2;3;108144;PS 18;RP 7001;
PV;2;3;112083;PV25;;
PV;2;3;114690;PV26;;
PS;2;3;116465;PS 19;RP 7054;
