LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_CUM;NUM;INTER
2;3;426043;35;1000
2;3;427043;36;1000
2;3;428043;37;1000
2;3;429043;38;1000
2;3;430043;39;1000
2;3;431043;40;1000
2;3;432043;41;1000
2;3;433043;42;1000
2;3;434043;43;1000
2;3;435043;44;1000
2;3;436043;45;500
2;3;436543;49;484
2;3;437027;48;1000
2;3;438027;47;1000
2;3;439027;46;1000
2;3;440027;45;1000
2;3;441027;44;1000
2;3;442027;43;1000
2;3;443027;42;1000
2;3;444027;41;1000
2;3;445027;40;1000
2;3;446027;39;1000
2;3;447027;38;1000
2;3;448027;37;1000
2;3;449027;36;1000
2;3;450027;35;1000
2;3;451027;34;1000
2;3;452027;33;1000
2;3;453027;32;1000
2;3;454027;31;1000
2;3;455027;30;1000
2;3;456027;29;1000
2;3;457027;28;1000
2;3;458027;27;1000
2;3;459027;26;1000
2;3;460027;25;1000
2;3;461027;24;1000
2;3;462027;23;1000
2;3;463027;22;1000
2;3;464027;21;1000
2;3;465027;20;1000
2;3;466027;19;1000
2;3;467027;18;1000
2;3;468027;17;1000
2;3;469027;16;1000
2;3;470027;15;1000
2;3;471027;14;1000
2;3;472027;13;1000
2;3;473027;12;1000
2;3;474027;11;1000
2;3;475027;10;1000
2;3;476027;9;1000
2;3;477027;8;1000
2;3;478027;7;1000
2;3;479027;6;1000
2;3;480027;5;1000
2;3;481027;4;1000
2;3;482027;3;1000
2;3;483027;2;1000
2;3;484027;1;1000
2;3;485027;0;1000
2;3;14700;0;1000
2;3;15700;1;1000
2;3;16700;2;1000
2;3;17700;3;1000
2;3;18700;4;1000
2;3;19700;5;1000
2;3;20700;6;1000
2;3;21700;7;1000
2;3;22700;8;1000
