LINE_INDEX;LAYER_NAME;LIAISON;SENS;ABS_DEB;ABS_FIN;X1;Y1;X2;Y2
0;SIG_REF_DETAIL;A63;1;119600;119715;365686.438637352;6316100.71230425;365623.653483643;6316004.76571289
0;SIG_REF_DETAIL;A63;1;119715;120467;365623.653483643;6316004.76571289;365243.261758182;6315355.51413502
0;SIG_REF_DETAIL;A63;1;120467;128301;365243.261758182;6315355.51413502;361438.065348302;6308509.19179014
0;SIG_REF_DETAIL;A63;1;128301;128410;361438.065348302;6308509.19179014;361388.339837468;6308412.69030285
0;SIG_REF_DETAIL;A63;1;128410;128487;361388.339837468;6308412.69030285;361360.237259917;6308340.74205522
0;SIG_REF_DETAIL;A63;1;128487;128616;361360.237259917;6308340.74205522;361321.687678698;6308218.04924539
0;SIG_REF_DETAIL;A63;1;128616;128731;361321.687678698;6308218.04924539;361297.519928898;6308105.04980945
0;SIG_REF_DETAIL;A63;1;128731;128834;361297.519928898;6308105.04980945;361285.462810062;6308002.97768658
0;SIG_REF_DETAIL;A63;1;128834;128899;361285.462810062;6308002.97768658;361282.096952473;6307938.38974175
0;SIG_REF_DETAIL;A63;1;128899;129271;361282.096952473;6307938.38974175;361279.57443728;6307566.27741868
0;SIG_REF_DETAIL;A63;1;129271;129326;361279.57443728;6307566.27741868;361275.851397958;6307511.61271223
0;SIG_REF_DETAIL;A63;1;129326;129412;361275.851397958;6307511.61271223;361263.889882301;6307426.45041806
0;SIG_REF_DETAIL;A63;1;129412;129491;361263.889882301;6307426.45041806;361248.132464932;6307348.72415885
0;SIG_REF_DETAIL;A63;1;129491;129559;361248.132464932;6307348.72415885;361230.423837192;6307282.78692399
0;SIG_REF_DETAIL;A63;1;129559;129921;361230.423837192;6307282.78692399;361120.509195854;6306937.99393512
0;SIG_REF_DETAIL;A63;1;129921;130091;361120.509195854;6306937.99393512;361064.777903624;6306777.60216561
0;SIG_REF_DETAIL;A63;1;130091;130122;361064.777903624;6306777.60216561;361052.936860106;6306748.83688534
0;SIG_REF_DETAIL;A63;1;130122;130193;361052.936860106;6306748.83688534;361023.438396249;6306684.076321
0;SIG_REF_DETAIL;A63;1;130193;130322;361023.438396249;6306684.076321;360956.641502207;6306573.60278463
0;SIG_REF_DETAIL;A63;1;130322;130411;360956.641502207;6306573.60278463;360903.286265169;6306503.11497081
0;SIG_REF_DETAIL;A63;1;130411;130850;360903.286265169;6306503.11497081;360594.96615041;6306189.96008748
0;SIG_REF_DETAIL;A63;1;130850;130951;360594.96615041;6306189.96008748;360530.607326462;6306111.38271892
0;SIG_REF_DETAIL;A63;1;130951;131048;360530.607326462;6306111.38271892;360476.131804943;6306032.16610741
0;SIG_REF_DETAIL;A63;1;131048;131156;360476.131804943;6306032.16610741;360421.887349493;6305937.69124942
0;SIG_REF_DETAIL;A63;1;131156;131279;360421.887349493;6305937.69124942;360370.03624841;6305826.17314183
0;SIG_REF_DETAIL;A63;1;131279;131428;360370.03624841;6305826.17314183;360326.174118156;6305684.62566738
0;SIG_REF_DETAIL;A63;1;131428;131517;360326.174118156;6305684.62566738;360305.130093505;6305597.27842279
0;SIG_REF_DETAIL;A63;1;131517;134537;360305.130093505;6305597.27842279;359665.784318063;6302645.75944051
0;SIG_REF_DETAIL;A63;1;134537;134842;359665.784318063;6302645.75944051;359604.637679888;6302346.32848837
0;SIG_REF_DETAIL;A63;1;134842;134953;359604.637679888;6302346.32848837;359590.261542536;6302236.14316869
0;SIG_REF_DETAIL;A63;1;134953;137807;359590.261542536;6302236.14316869;359317.728427868;6299394.58929697
0;SIG_REF_DETAIL;A63;1;137807;138994;359317.728427868;6299394.58929697;359202.669995772;6298195.46563871
0;SIG_REF_DETAIL;A63;1;138994;139112;359202.669995772;6298195.46563871;359183.285332713;6298077.8671582
0;SIG_REF_DETAIL;A63;1;139112;139220;359183.285332713;6298077.8671582;359155.397803873;6297971.39895531
0;SIG_REF_DETAIL;A63;1;139220;139272;359155.397803873;6297971.39895531;359138.507332719;6297921.89858979
0;SIG_REF_DETAIL;A63;1;139272;139337;359138.507332719;6297921.89858979;359114.80768358;6297862.40352515
0;SIG_REF_DETAIL;A63;1;139337;139401;359114.80768358;6297862.40352515;359086.458312139;6297805.04980178
0;SIG_REF_DETAIL;A63;1;139401;139536;359086.458312139;6297805.04980178;359015.670634999;6297689.65138148
0;SIG_REF_DETAIL;A63;1;139536;139664;359015.670634999;6297689.65138148;358934.333773405;6297591.40206203
0;SIG_REF_DETAIL;A63;1;139664;139794;358934.333773405;6297591.40206203;358840.116342013;6297502.97074419
0;SIG_REF_DETAIL;A63;1;139794;139874;358840.116342013;6297502.97074419;358776.133431535;6297454.31903203
0;SIG_REF_DETAIL;A63;1;139874;139947;358776.133431535;6297454.31903203;358715.146089343;6297414.85573601
0;SIG_REF_DETAIL;A63;1;139947;140054;358715.146089343;6297414.85573601;358620.029155602;6297365.42823545
0;SIG_REF_DETAIL;A63;1;140054;140482;358620.029155602;6297365.42823545;358220.840834782;6297213.36654622
0;SIG_REF_DETAIL;A63;1;140482;140891;358220.840834782;6297213.36654622;357847.492737162;6297048.14094671
0;SIG_REF_DETAIL;A63;1;140891;141107;357847.492737162;6297048.14094671;357647.209711891;6296968.66141435
0;SIG_REF_DETAIL;A63;1;141107;141783;357647.209711891;6296968.66141435;357004.230056891;6296765.80834219
0;SIG_REF_DETAIL;A63;1;141783;142401;357004.230056891;6296765.80834219;356431.329574424;6296536.41524716
0;SIG_REF_DETAIL;A63;1;142401;142615;356431.329574424;6296536.41524716;356227.735308473;6296474.07410774
0;SIG_REF_DETAIL;A63;1;142615;142707;356227.735308473;6296474.07410774;356137.907738653;6296451.44058618
0;SIG_REF_DETAIL;A63;1;142707;142845;356137.907738653;6296451.44058618;356003.455480691;6296425.10077549
0;SIG_REF_DETAIL;A63;1;142845;143039;356003.455480691;6296425.10077549;355811.291141128;6296400.99673072
0;SIG_REF_DETAIL;A63;1;143039;143215;355811.291141128;6296400.99673072;355635.80168704;6296391.02047314
0;SIG_REF_DETAIL;A63;1;143215;143682;355635.80168704;6296391.02047314;355169.648052286;6296393.57607941
0;SIG_REF_DETAIL;A63;1;143682;143889;355169.648052286;6296393.57607941;354963.299566465;6296385.06907491
0;SIG_REF_DETAIL;A63;1;143889;144127;354963.299566465;6296385.06907491;354727.177152662;6296357.81771575
0;SIG_REF_DETAIL;A63;1;144127;144493;354727.177152662;6296357.81771575;354366.358181622;6296299.73236589
0;SIG_REF_DETAIL;A63;1;144493;144698;354366.358181622;6296299.73236589;354162.797387214;6296278.7453865
0;SIG_REF_DETAIL;A63;1;144698;144918;354162.797387214;6296278.7453865;353943.962997788;6296272.50827586
0;SIG_REF_DETAIL;A63;1;144918;145325;353943.962997788;6296272.50827586;353537.174536605;6296281.30164201
0;SIG_REF_DETAIL;A63;1;145325;145567;353537.174536605;6296281.30164201;353296.784234951;6296267.91368535
0;SIG_REF_DETAIL;A63;1;145567;145743;353296.784234951;6296267.91368535;353122.680849795;6296240.67915192
0;SIG_REF_DETAIL;A63;1;145743;145914;353122.680849795;6296240.67915192;352957.062352168;6296198.73988859
0;SIG_REF_DETAIL;A63;1;145914;146121;352957.062352168;6296198.73988859;352762.847869753;6296130.20725168
0;SIG_REF_DETAIL;A63;1;146121;146233;352762.847869753;6296130.20725168;352660.166783627;6296085.61832826
0;SIG_REF_DETAIL;A63;1;146233;146342;352660.166783627;6296085.61832826;352563.654532148;6296035.68544046
0;SIG_REF_DETAIL;A63;1;146342;146524;352563.654532148;6296035.68544046;352408.011979315;6295941.46022776
0;SIG_REF_DETAIL;A63;1;146524;146638;352408.011979315;6295941.46022776;352315.293284471;6295875.29621765
0;SIG_REF_DETAIL;A63;1;146638;146757;352315.293284471;6295875.29621765;352222.606879518;6295800.89541098
0;SIG_REF_DETAIL;A63;1;146757;147004;352222.606879518;6295800.89541098;352042.818394234;6295633.20460515
0;SIG_REF_DETAIL;A63;1;147004;147126;352042.818394234;6295633.20460515;351956.525581083;6295547.3272926
0;SIG_REF_DETAIL;A63;1;147126;147309;351956.525581083;6295547.3272926;351831.784465778;6295412.91354471
0;SIG_REF_DETAIL;A63;1;147309;147540;351831.784465778;6295412.91354471;351686.280366186;6295234.33915412
