FAM_DEC_INF__FAM_DEC;CD_DEC;LIBELLE
COMMU;3182;Monteignet Sur Andelot
COMMU;3186;Montmarault
COMMU;3193;Nassigny
COMMU;3194;Naves
COMMU;3219;Saint Bonnet De Four
COMMU;3220;Saint Bonnet De Rochefort
COMMU;3243;Saint Marcel En Murat
COMMU;3255;Saint Priest D’Andelot
COMMU;3256;Saint Priest En Murat
COMMU;3270;Sazeret
COMMU;3277;Target
COMMU;3297;Vallon En Sully
COMMU;3305;Verneix
COMMU;3311;Vicq
COMMU;69264;Villefranche-Sur-Saone
COMMU;69278;Genay
COMMU;69280;Jons
COMMU;69285;Pusignan
COMMU;69286;Rillieux-La-Pape
COMMU;69288;Saint-Laurent-De-Mure
COMMU;69299;Colombier-Saugnieu
COMMU;71027;Beaurepaire-En-Bresse
COMMU;71052;Boyer
COMMU;71073;Chagny
COMMU;71074;Chaintre
COMMU;71081;Champforgeuil
COMMU;71090;La Chapelle-De-Guinchay
COMMU;71099;Charbonnieres
COMMU;71105;Charnay-Les-Macon
COMMU;71118;Chatenoy-Le-Royal
COMMU;71119;Chaudenay
COMMU;71143;Condal
COMMU;71150;Creches-Sur-Saone
COMMU;71157;Cuiseaux
COMMU;71170;Demigny
COMMU;71177;Dommartin-Les-Cuiseaux
COMMU;71195;Farges-Les-Macon
COMMU;71198;Flacey-En-Bresse
COMMU;71202;Fontaines
COMMU;71204;Fragnes
COMMU;71209;Frontenaud
COMMU;71235;Hurigny
COMMU;71245;Jugy
COMMU;71249;Laives
COMMU;71257;Lessard-Le-National
CONCES;A710W;Non Renseigné
CONCES;A719;Non Renseigné
CONCES;A77;Non Renseigné
CONCES;TML;Non Renseigné
DEPART;10;Aube
DEPART;18;Cher
DEPART;21;Côte-D''Or
DEPART;25;Doubs
DEPART;38;Isère
DEPART;39;Jura
DEPART;45;Loiret
DEPART;52;Hte.Marne
DEPART;54;Meurthe-Et-Moselle
DEPART;58;Nièvre
DEPART;63;Puy-De-Dôme
DEPART;68;Haut-Rhin
DEPART;69;Rhône
DEPART;71;Saône-Et-Loire
DEPART;77;Seine-Et-Marne
DEPART;88;Vosges
DEPART;89;Yonne
DEPART;90;Territoire-De-Belfort
DEPART;91;Essonne
DIS;11;Gâtinais
DIS;14;Vals de l''Yonne
DIS;16;Brie
DIS;17;Loiret
DIS;21;Centre de la France
DIS;24;Auvergne
DIS;45;Auxois
DIS;47;Centre Bourgogne
COMMU;01304;PONT-D''AIN
DIS;41;Val De Saone
DIS;42;Villefranche
DIS;43;Dagneux
DIS;44;Bourg
DIS;46;Haut Bugey
DIS;51;Belfort Montbeliard
DIS;53;Comtois
DIS;55;Tunnel Maurice Lemaire
DIS;56;Jura
DIS;62;Haute-Marne
DIS;64;Lorraine
DIS;65;Aube
DIS;68;Dijonnais
NIVEAU;NIVEAU1;Vh Prioritaire
NIVEAU;NIVEAU2;Vh Moyen
NIVEAU;NIVEAU3;Vh Faible
PG;AUXERRE;Peloton Auxerre
PG;AVALLON;Peloton Avallon
PG;BEAUNE;Peloton Beaune
PG;BELFORT;Peloton Belfort
