LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;AIRE_INF__ABS_DEB;CD_AIRE_INF__TYPE;CD_PRESTATAIRE_INF__TYPE;PRESTATAIRE_INF__NOM
A6;1;212900;AS;Restaurant;Autogrill
A6;1;255400;AS;Restaurant;Autogrill
A6;1;311300;AS;Restaurant;Autogrill
A6;1;311300;AS;Restaurant;Truckstore
A6;1;341700;AS;Restaurant;L''Arche
A6;1;374800;AS;Restaurant;L''Arche
A6;1;374800;AS;Restaurant;Le Boeuf Jardinier
A6;1;374800;AS;Restaurant;Quick
A6;1;407800;AS;Restaurant;Autogrill
A6;2;29000;AS;Restaurant;McDonald''s
A6;2;74100;AS;Restaurant;Autogrill
A6;2;74100;AS;Restaurant;Côté France
A6;2;122900;AS;Restaurant;Autogrill
A6;2;167000;AS;Restaurant;L''Arche
A6;2;213000;AS;Restaurant;L''Arche
A6;2;256000;AS;Restaurant;Autogrill
A6;2;311300;AS;Restaurant;Autogrill
A6;2;341700;AS;Restaurant;L''Arche
A6;2;374800;AS;Restaurant;L''Arche
A6;2;374800;AS;Restaurant;Le Boeuf Jardinier
A6;2;374800;AS;Restaurant;Quick
A6;2;408400;AS;Restaurant;Autogrill
A6;1;29000;AS;Restauration légère;Cafétéria indépendante
A6;1;58000;AS;Restauration légère;La Croissanterie
A6;1;74100;AS;Restauration légère;Cafétéria indépendante
A6;1;122900;AS;Restauration légère;Cafétéria indépendante
A6;1;167000;AS;Restauration légère;Pomme de Pain
A6;1;212900;AS;Restauration légère;Cafétéria indépendante
A6;1;255400;AS;Restauration légère;Café Route
A6;1;255400;AS;Restauration légère;Cafétéria indépendante
A6;1;374800;AS;Restauration légère;Café Route
A6;1;374800;AS;Restauration légère;Cafétéria indépendante
A6;1;407800;AS;Restauration légère;Cafétéria indépendante
A6;1;435600;AS;Restauration légère;Cafétéria indépendante
A6;2;74100;AS;Restauration légère;Cafétéria indépendante
A6;2;122900;AS;Restauration légère;Cafétéria indépendante
A6;2;167000;AS;Restauration légère;Pomme de Pain
A6;2;213000;AS;Restauration légère;Cafétéria indépendante
A6;2;256000;AS;Restauration légère;Cafétéria indépendante
A6;2;311300;AS;Restauration légère;Brioche dorée
A6;2;341700;AS;Restauration légère;Paul
A6;2;374800;AS;Restauration légère;L''Arche Café
A6;2;408400;AS;Restauration légère;Cafétéria indépendante
A6;2;435800;AS;Restauration légère;Cafétéria indépendante
A71;1;354890;AS;Hôtel;Hôtel indépendant
A71;1;245990;AS;Pétrolier;Esso
A71;1;304300;AS;Pétrolier;Avia
A71;1;354890;AS;Pétrolier;Total
A71;2;304390;AS;Pétrolier;Avia
A71;1;245990;AS;Restaurant;Autogrill
A71;1;354890;AS;Restaurant;Autogrill
A71;1;354890;AS;Restaurant;Restaurant indépendant
A71;2;304390;AS;Restaurant;Restaurant indépendant
A71;1;245990;AS;Restauration légère;Cafétéria indépendante
A71;1;354890;AS;Restauration légère;Cafétéria indépendante
A71;2;304390;AS;Restauration légère;Cafétéria indépendante
A71;1;381000;PB;Gendarmerie;gendarmerie
A77;1;45190;AS;Pétrolier;BP
A77;1;45190;AS;Restaurant;Autogrill
A77;1;45190;AS;Restauration légère;Cafétéria indépendante
A77;1;5660;PB;Gendarmerie;gendarmerie
A77;2;97410;PB;Gendarmerie;gendarmerie
A77;1;97410;PB;Restauration légère;Cafétéria indépendante
