LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;ABS_FIN;CD_TPC_INF__CODE;LARGEUR
A31;3;130;230;ITPC;
A31;3;43251;43351;ITPC;
A39;3;72568;72668;ITPC;
A39;3;74594;74694;ITPC;
A6;3;51650;51750;ITPC;
A71;3;274377;274477;ITPC;
A71;3;275877;275977;ITPC;
A31;3;47001;47101;ITPC;
A31;3;47523;47623;ITPC;
A31;3;53553;53653;ITPC;
A31;3;103349;103449;ITPC;
A31;3;85287;85387;ITPC;
A31;3;86505;86605;ITPC;
A36;3;78580;78680;ITPC;
A71;3;294627;294727;ITPC;
A19;3;9550;9650;ITPC;
A71;3;336447;336547;ITPC;
A71;3;338217;338317;ITPC;
A39;3;18990;19090;ITPC;
A36;3;150400;150500;ITPC;
A19;3;11530;11630;ITPC;
A6;3;201750;201850;ITPC;
A6;3;203500;203600;ITPC;
A6;3;107330;107430;ITPC;
A71;3;251009;251109;ITPC;
A71;3;307227;307327;ITPC;
A6;3;444210;444310;ITPC;
A5;3;60730;60830;ITPC;
A5;3;84130;84230;ITPC;
A5;3;187204;187304;ITPC;
A719;3;4450;4550;ITPC;
A42;3;38950;39050;ITPC;
A432;3;19905;20005;ITPC;
A36;3;155830;155930;ITPC;
A5;3;16920;17020;ITPC;
A77;3;16150;16250;ITPC;
A39;3;100410;100510;ITPC;
A5;3;13690;13790;ITPC;
A31;3;87115;87215;ITPC;
A77;3;92910;93010;ITPC;
A5;3;157715;157815;ITPC;
A71;3;319797;319897;ITPC;
A71;3;291407;291507;ITPC;
A71;3;257419;257519;ITPC;
A391;3;1350;1450;ITPC;
A6;3;425920;426020;ITPC;
A719;3;2050;2150;ITPC;
A71;3;212797;212897;ITPC;
A5;3;222193;222293;ITPC;
A6;3;408000;408100;ITPC;
A6;3;363230;363330;ITPC;
A6;3;369630;369730;ITPC;
A6;3;166010;166110;ITPC;
A5;3;63280;63380;ITPC;
A6;3;62350;62450;ITPC;
A6;3;64450;64550;ITPC;
A39;3;130225;130325;ITPC;
A39;3;44868;44968;ITPC;
A6;3;185660;185760;ITPC;
A71;3;294837;294937;ITPC;
A36;3;124400;124500;ITPC;
A31;3;11200;11300;ITPC;
A31;3;71076;71176;ITPC;
A19;3;17400;17500;ITPC;
A77;3;28550;28650;ITPC;
A36;3;162190;162290;ITPC;
A36;3;88220;88320;ITPC;
A77;3;9550;9650;ITPC;
A77;3;30850;30950;ITPC;
A36;3;92190;92290;ITPC;
A39;3;108395;108495;ITPC;
A5;3;128928;129028;ITPC;
A5;3;130852;130952;ITPC;
A6;3;271370;271470;ITPC;
A71;3;243869;243969;ITPC;
A77;3;2090;2190;ITPC;
A31;3;139541;139641;ITPC;
A39;3;15570;15670;ITPC;
A71;3;374780;374880;ITPC;
A31;3;90978;91078;ITPC;
A6;3;296890;296990;ITPC;
A77;3;38450;38550;ITPC;
A71;3;229567;229667;ITPC;
A5;3;214211;214311;ITPC;
A6;3;380390;380490;ITPC;
A77;3;27600;27700;ITPC;
A5;3;69230;69330;ITPC;
A5;3;70990;71090;ITPC;
A31;3;166047;166147;ITPC;
A71;3;333687;333787;ITPC;
A6;3;164960;165060;ITPC;
A404;3;17551;17651;ITPC;
A5;3;208430;208530;ITPC;
A6;3;351560;351660;ITPC;
A6;3;224100;224200;ITPC;
A5;3;94600;94700;ITPC;
A31;3;140215;140315;ITPC;
A31;3;214813;214913;ITPC;
A31;3;214924;215024;ITPC;
A31;3;225235;225335;ITPC;
A31;3;225935;226035;ITPC;
A40;3;137756;137856;ITPC;
A39;3;134125;134225;ITPC;
A31;3;226665;226765;ITPC;
A31;3;227090;227190;ITPC;
A71;3;264169;264269;ITPC;
A432;3;1860;1960;ITPC;
A77;3;5390;5490;ITPC;
A5;3;96650;96750;ITPC;
A5;3;119610;119710;ITPC;
