CD_PT_SING_INF__CODE;LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;NOM_USAGE;LIBELLE;COMMENTAIRE
RAU;A6;1;304537;33 27;;
ACCSER;A6;2;437610;;;
RAU;A36;1;56442;52 07;;
RAU;A31;1;129960;;;
ACCSER;A39;1;13935;;;
RAU;A6;1;45539;11 13;;
RAU;A36;2;198810;33 54;;
RAU;A26;1;382627;;;
RAU;A71;1;357290;24 07;;
RAU;A40;1;117655;145;;
RAU;A40;1;112350;155;;
ACCSER;A31;1;210817;;;
RAU;A36;2;97310;52 64;;
RAU;A36;1;26609;51 25;;
RAU;A36;1;48759;51 51;;
RAU;A71;1;383730;24 33;;
ACCSER;A71;1;221650;;;
RAU;A77;2;47820;18004;;
RAU;A77;2;49320;18006;;
RAU;A31;1;213810;;;
RAU;A31;2;77185;2-77+3;;
RAU;A31;1;2180;33 81;;
ACCSER;A6;2;233440;;;
ACCSER;A6;1;194460;;;
ACCSER;A31;2;38705;;;
ACCSER;A6;2;82770;;;
RAU;A6;2;282080;32 56;;
RAU;A6;2;293873;33 12;;
RAU;A36;2;215200;33 70;;
ACCSER;A26;1;374085;;;
RAU;A31;1;15423;1-15+4;;
RAU;A31;1;73585;1-73+4;;
ACCSER;A42;2;50400;;;
RAU;A77;1;77910;18041;;
RAU;A77;1;79890;18043;;
RAU;A31;2;206130;;;
RAU;A36;2;132608;53 30;;
ACCSER;A71;2;271569;;;
ACCSER;A31;1;99750;;;
ACCSER;A31;1;120416;;;
ACCSER;A31;1;172520;;;
ACCSER;A6;1;388570;;;
RAU;A31;2;107260;;;
ACCSER;A71;1;335822;;;
ACCSER;A39;2;43818;;;
RAU;A31;1;158250;;;
RAU;A5;1;67798;15 21 a;;
ACCSER;A71;1;241407;;;
RAU;A39;2;98675;57 48;;
ACCSER;A77;2;6870;;;
RAU;A77;1;43113;17 47;;
RAU;A36;2;115990;53 12;;
RAU;A6;2;287390;32 68;;
RAU;A6;1;216205;31 35;;
ACCSER;A6;1;341490;;;
RAU;A6;1;295690;33 15;;
RAU;A36;1;20460;51 19;;
RAU;A31;1;44545;1-44+5;;
RAU;A77;2;46560;18002;;
ACCSER;A40;2;161500;;;
RAU;A40;2;173530;4439;;
RAU;A19;2;28850;12.8;;
RAU;A5;1;146102;;;
ACCSER;A5;1;146691;;;
RAU;A406;1;270;1-00+3;;
RAU;A71;1;240152;21 31;;
RAU;A6;2;98650;12 18;;
RAU;A6;2;100650;12 20;;
ACCSER;A719;2;8150;;;
RAU;A40;1;104840;178;;
RAU;A31;1;160190;;;
RAU;A6;1;69750;11 41;;
RAU;A6;1;297685;33 19;;
RAU;A6;1;288400;32 69;;
RAU;A40;1;109165;161;;
RAU;A36;2;98528;52 66;;
RAU;A36;1;22890;51 21;;
ACCSER;A36;1;24130;;;
RAU;A6;1;436490;42 39;;
RAU;A6;1;151886;14 31;;
RAU;A19;1;13306;12.61;;
RAU;A31;1;151700;;;
RAU;A5;2;193910;;;
RAU;A5;2;225390;;;
ACCSER;A6;2;79950;;;
ACCSER;A6;2;285790;;;
ACCSER;A5;2;22350;;;
RAU;A6;2;266930;32 36;;
RAU;A36;2;22890;51 22;;
ACCSER;A5A;2;6500;;;
RAU;A36;1;160497;54 11;;
RAU;A71;2;268464;22 18;;
ACCSER;A40;1;165900;;;
ACCSER;A6;2;201660;;;
ACCSER;A39;1;86998;;;
RAU;A19;1;21060;12.71;;
RAU;A40;2;119280;234;;
ACCSER;A6;1;404700;;;
