CD_SERVICE_INF__SERVICE;LIAISON_INF__LIAISON;CD_AIRE_INF__TYPE;CHAUSSEE_INF__SENS;AIRE_INF__ABS_DEB
MOBILITE REDUITE;A31;AR;2;17400
MOBILITE REDUITE;A31;AR;2;45100
MOBILITE REDUITE;A31;AR;2;75800
MOBILITE REDUITE;A31;AR;2;87900
MOBILITE REDUITE;A31;AR;2;121700
MOBILITE REDUITE;A31;AR;2;162100
MOBILITE REDUITE;A31;AR;2;200900
MOBILITE REDUITE;A31;AR;2;211300
MOBILITE REDUITE;A31;AR;2;225500
BRUMISATEUR;A40;AR;1;103000
BRUMISATEUR;A40;AR;1;115500
DAB;A40;AR;1;115500
Information;A40;AR;1;103000
Information;A40;AR;1;115500
JEUX;A40;AR;1;103000
JEUX;A40;AR;1;115500
JEUX;A40;AR;1;140300
JEUX;A40;AR;1;152630
JEUX;A40;AR;1;191180
MOBILITE REDUITE;A40;AR;1;103000
MOBILITE REDUITE;A40;AR;1;115500
MOBILITE REDUITE;A40;AR;1;140300
MOBILITE REDUITE;A40;AR;1;152630
MOBILITE REDUITE;A40;AR;1;191180
PANORAMA;A40;AR;1;103000
PARCOURS_DETENTE;A40;AR;1;103000
PARCOURS_DETENTE;A40;AR;1;191180
PIQUE_NIQUE;A40;AR;1;103000
PIQUE_NIQUE;A40;AR;1;115500
PIQUE_NIQUE;A40;AR;1;140300
PIQUE_NIQUE;A40;AR;1;152630
PIQUE_NIQUE;A40;AR;1;191180
PRESSE;A40;AR;1;103000
PRESSE;A40;AR;1;115500
PRODUITS_REGIONAUX;A40;AR;1;103000
PRODUITS_REGIONAUX;A40;AR;1;115500
SUPERETTE;A40;AR;1;115500
TABAC;A40;AR;1;103000
TELEPHONE;A40;AR;1;103000
TELEPHONE;A40;AR;1;115500
TELEPHONE;A40;AR;1;140300
TELEPHONE;A40;AR;1;152630
TELEPHONE;A40;AR;1;191180
BRUMISATEUR;A40;AR;2;152600
DAB;A40;AR;2;115500
JEUX;A40;AR;2;103000
JEUX;A40;AR;2;115500
JEUX;A40;AR;2;152600
JEUX;A40;AR;2;191150
MOBILITE REDUITE;A40;AR;2;103000
MOBILITE REDUITE;A40;AR;2;115500
MOBILITE REDUITE;A40;AR;2;152600
MOBILITE REDUITE;A40;AR;2;191150
PANORAMA;A40;AR;2;152600
PARCOURS_DETENTE;A40;AR;2;115500
PARCOURS_DETENTE;A40;AR;2;152600
PARCOURS_DETENTE;A40;AR;2;191150
PIQUE_NIQUE;A40;AR;2;103000
PIQUE_NIQUE;A40;AR;2;115500
PIQUE_NIQUE;A40;AR;2;152600
PIQUE_NIQUE;A40;AR;2;191150
PRESSE;A40;AR;2;115500
PRODUITS_REGIONAUX;A40;AR;2;115500
