CD_SERVICE_INF__SERVICE;LIAISON_INF__LIAISON;CD_AIRE_INF__TYPE;CHAUSSEE_INF__SENS;AIRE_INF__ABS_DEB
BRUMISATEUR;A39;AD;2;114970
DAB;A39;AD;2;114970
JEUX;A39;AD;2;114970
MOBILITE REDUITE;A39;AD;2;114970
PANORAMA;A39;AD;2;114970
PIQUE_NIQUE;A39;AD;2;114970
PRESSE;A39;AD;2;114970
PRODUITS_REGIONAUX;A39;AD;2;114970
TELEPHONE;A39;AD;2;114970
Vente Liber-t;A39;AD;2;114970
JEUX;A39;AR;1;5900
JEUX;A39;AR;1;15200
JEUX;A39;AR;1;51390
JEUX;A39;AR;1;66730
JEUX;A39;AR;1;100080
JEUX;A39;AR;1;137650
MOBILITE REDUITE;A39;AR;1;5900
MOBILITE REDUITE;A39;AR;1;15200
MOBILITE REDUITE;A39;AR;1;51390
MOBILITE REDUITE;A39;AR;1;66730
MOBILITE REDUITE;A39;AR;1;100080
MOBILITE REDUITE;A39;AR;1;137650
PANORAMA;A39;AR;1;137650
PARCOURS_DETENTE;A39;AR;1;137650
PIQUE_NIQUE;A39;AR;1;5900
PIQUE_NIQUE;A39;AR;1;15200
PIQUE_NIQUE;A39;AR;1;51390
PIQUE_NIQUE;A39;AR;1;66730
PIQUE_NIQUE;A39;AR;1;100080
PIQUE_NIQUE;A39;AR;1;137650
TELEPHONE;A39;AR;1;5900
TELEPHONE;A39;AR;1;15200
TELEPHONE;A39;AR;1;51390
TELEPHONE;A39;AR;1;66730
TELEPHONE;A39;AR;1;100080
Vente Liber-t;A39;AR;1;51390
Vente Liber-t;A39;AR;1;66730
Vente Liber-t;A39;AR;1;137650
BRUMISATEUR;A39;AR;2;51310
DAB;A39;AR;2;16300
DAB;A39;AR;2;51310
JEUX;A39;AR;2;5900
JEUX;A39;AR;2;16300
JEUX;A39;AR;2;51310
JEUX;A39;AR;2;66730
JEUX;A39;AR;2;100080
JEUX;A39;AR;2;137650
MOBILITE REDUITE;A39;AR;2;5900
MOBILITE REDUITE;A39;AR;2;16300
MOBILITE REDUITE;A39;AR;2;51310
MOBILITE REDUITE;A39;AR;2;66730
MOBILITE REDUITE;A39;AR;2;100080
MOBILITE REDUITE;A39;AR;2;137650
PANORAMA;A39;AR;2;66730
PIQUE_NIQUE;A39;AR;2;5900
PIQUE_NIQUE;A39;AR;2;16300
PIQUE_NIQUE;A39;AR;2;51310
PIQUE_NIQUE;A39;AR;2;66730
PIQUE_NIQUE;A39;AR;2;100080
PIQUE_NIQUE;A39;AR;2;137650
PRESSE;A39;AR;2;16300
PRESSE;A39;AR;2;51310
PRODUITS_REGIONAUX;A39;AR;2;51310
PRODUITS_REGIONAUX;A39;AR;2;100080
Parking sécurisé pour poids lourds;A39;AR;2;51310
TELEPHONE;A39;AR;2;16300
TELEPHONE;A39;AR;2;51310
TELEPHONE;A39;AR;2;66730
TELEPHONE;A39;AR;2;100080
TELEPHONE;A39;AR;2;137650
VIDANGE;A39;AR;2;16300
Vente Liber-t;A39;AR;2;5900
Vente Liber-t;A39;AR;2;16300
Vente Liber-t;A39;AR;2;66730
Vente Liber-t;A39;AR;2;100080
Vente Liber-t;A39;AR;2;137650
JEUX;A39;AS;1;24930
JEUX;A39;AS;1;114970
MOBILITE REDUITE;A39;AS;1;24930
MOBILITE REDUITE;A39;AS;1;114970
PANORAMA;A39;AS;1;114970
PARCOURS_DETENTE;A39;AS;1;24930
PIQUE_NIQUE;A39;AS;1;24930
PIQUE_NIQUE;A39;AS;1;114970
TELEPHONE;A39;AS;1;24930
TELEPHONE;A39;AS;1;114970
Vente Liber-t;A39;AS;1;24930
CHANGE;A39;AS;2;78300
Information;A39;AS;2;24460
JEUX;A39;AS;2;24460
JEUX;A39;AS;2;78300
MOBILITE REDUITE;A39;AS;2;24460
MOBILITE REDUITE;A39;AS;2;78300
PIQUE_NIQUE;A39;AS;2;24460
PIQUE_NIQUE;A39;AS;2;78300
TELEPHONE;A39;AS;2;24460
TELEPHONE;A39;AS;2;78300
Vente Liber-t;A39;AS;2;24460
MOBILITE REDUITE;A39;Sortie;1;40000
TELEPHONE;A39;Sortie;1;40000
JEUX;A391;PB;1;920
MOBILITE REDUITE;A391;PB;1;920
PANORAMA;A391;PB;1;920
PIQUE_NIQUE;A391;PB;1;920
TELEPHONE;A391;PB;1;920
Vente Liber-t;A391;PB;1;920
JEUX;A391;PB;2;920
MOBILITE REDUITE;A391;PB;2;920
PIQUE_NIQUE;A391;PB;2;920
TELEPHONE;A391;PB;2;920
Vente Liber-t;A391;PB;2;920
